,UID,Cohort,Group,Sum_Introversion,Sum_Extroversion,TBL1_iRAT,TBL2_iRAT,TBL3_iRAT,TBL1_tRAT,TBL2_tRAT,TBL3_tRAT,TBL1_RATdiff,TBL2_RATdiff,TBL3_RATdiff
0,18893,2019,1,14,22,2,2,3,15,13,14,9,7,5
1,18937,2019,1,13,21,5,0,3,15,13,14,0,13,5
2,18960,2019,1,19,15,4,4,2,15,13,14,3,1,8
3,18972,2019,1,5,30,4,4,1,15,13,14,3,1,11
4,18981,2019,1,20,14,2,4,3,15,13,14,9,1,5
5,19037,2019,1,26,7,3,4,5,15,13,14,6,1,-1
6,19045,2019,1,10,24,5,4,4,15,13,14,0,1,2
7,19067,2019,1,25,8,5,4,3,15,13,14,0,1,5
8,19142,2019,1,11,23,4,4,1,15,13,14,3,1,11
9,18872,2019,2,20,14,4,2,3,14,15,13,2,9,4
10,18880,2019,2,20,16,4,3,2,14,15,13,2,6,7
11,18899,2019,2,18,18,3,2,0,14,15,13,5,9,13
12,18917,2019,2,11,24,5,3,4,14,15,13,-1,6,1
13,18923,2019,2,15,19,2,2,3,14,15,13,8,9,4
14,19026,2019,2,17,18,4,3,2,14,15,13,2,6,7
15,19038,2019,2,20,13,4,3,1,14,15,13,2,6,10
16,19074,2019,2,26,9,4,2,1,14,15,13,2,9,10
17,18875,2019,3,9,26,2,4,4,15,14,15,9,2,3
18,18879,2019,3,16,19,4,2,4,15,14,15,3,8,3
19,18881,2019,3,24,10,4,4,4,15,14,15,3,2,3
20,18921,2019,3,19,14,4,4,2,15,14,15,3,2,9
21,18961,2019,3,9,26,2,2,2,15,14,15,9,8,9
22,18990,2019,3,18,16,4,3,3,15,14,15,3,5,6
23,19023,2019,3,26,8,2,3,1,15,14,15,9,5,12
24,19143,2019,3,29,5,3,4,5,15,14,15,6,2,0
25,15648,2019,4,18,17,3,4,0,15,14,13,6,2,13
26,18883,2019,4,17,19,4,4,4,15,14,13,3,2,1
27,18919,2019,4,14,21,4,4,3,15,14,13,3,2,4
28,18952,2019,4,19,16,5,2,5,15,14,13,0,8,-2
29,18971,2019,4,20,13,3,2,1,15,14,13,6,8,10
30,19008,2019,4,16,19,3,2,3,15,14,13,6,8,4
31,19033,2019,4,9,27,2,2,2,15,14,13,9,8,7
32,19044,2019,4,11,25,5,3,3,15,14,13,0,5,4
33,19134,2019,4,20,13,3,2,4,15,14,13,6,8,1
34,18833,2019,5,23,10,4,2,2,14,14,12,2,8,6
35,18836,2019,5,25,10,4,3,5,14,14,12,2,5,-3
36,18839,2019,5,13,23,2,3,2,14,14,12,8,5,6
37,18855,2019,5,18,16,5,3,3,14,14,12,-1,5,3
38,18861,2019,5,11,24,4,2,1,14,14,12,2,8,9
39,18930,2019,5,28,7,5,3,2,14,14,12,-1,5,6
40,18996,2019,5,12,22,2,3,4,14,14,12,8,5,0
41,19034,2019,5,18,15,3,3,1,14,14,12,5,5,9
42,19076,2019,5,7,29,3,3,2,14,14,12,5,5,6
43,18832,2019,6,18,15,3,3,4,14,12,15,5,3,3
44,18927,2019,6,9,26,4,2,5,14,12,15,2,6,0
45,18932,2019,6,17,16,3,2,2,14,12,15,5,6,9
46,18940,2019,6,19,16,4,3,3,14,12,15,2,3,6
47,18983,2019,6,21,13,4,4,3,14,12,15,2,0,6
48,18995,2019,6,9,25,3,4,4,14,12,15,5,0,3
49,19020,2019,6,20,15,3,3,3,14,12,15,5,3,6
50,19070,2019,6,10,26,4,3,2,14,12,15,2,3,9
51,19082,2019,6,25,8,3,2,4,14,12,15,5,6,3
52,18896,2019,7,11,25,5,2,3,14,13,14,-1,7,5
53,18904,2019,7,6,30,3,1,2,14,13,13,5,10,7
54,18936,2019,7,19,16,3,2,4,14,13,14,5,7,2
55,18945,2019,7,8,28,3,3,5,14,13,14,5,4,-1
56,18948,2019,7,12,24,5,3,3,14,13,14,-1,4,5
57,18975,2019,7,18,17,2,4,2,14,13,14,8,1,8
58,18976,2019,7,19,16,4,4,3,14,13,14,2,1,5
59,18998,2019,7,14,20,3,3,2,14,13,14,5,4,8
60,19013,2019,7,16,17,3,2,3,14,13,14,5,7,5
61,18840,2019,8,21,15,5,2,5,15,14,14,0,8,-1
62,18867,2019,8,9,27,4,2,5,15,14,14,3,8,-1
63,18887,2019,8,9,27,3,2,4,15,14,14,6,8,2
64,18891,2019,8,18,15,4,3,4,14,13,14,2,4,2
65,18903,2019,8,16,18,4,3,2,15,14,14,3,5,8
66,18957,2019,8,25,10,2,3,3,15,14,14,9,5,5
67,18989,2019,8,23,12,4,4,3,15,14,14,3,2,5
68,19083,2019,8,10,26,4,4,3,15,14,14,3,2,5
69,19144,2019,8,18,17,4,4,4,15,14,14,3,2,2
70,18837,2019,9,7,28,3,1,2,14,13,15,5,10,9
71,18844,2019,9,29,4,4,3,4,14,13,15,2,4,3
72,18851,2019,9,23,13,2,2,3,14,13,15,8,7,6
73,18862,2019,9,8,27,3,3,3,14,13,15,5,4,6
74,18865,2019,9,22,14,3,2,5,14,13,15,5,7,0
75,18873,2019,9,7,28,3,2,2,14,13,15,5,7,9
76,18964,2019,9,17,17,5,1,4,14,13,15,-1,10,3
77,18993,2019,9,24,9,2,3,3,14,13,15,8,4,6
78,19029,2019,9,8,28,4,3,2,14,13,15,2,4,9
79,18834,2019,10,18,18,3,3,5,14,15,13,5,6,-2
80,18849,2019,10,13,22,5,3,3,14,15,13,-1,6,4
81,18888,2019,10,20,15,5,4,3,14,15,13,-1,3,4
82,18890,2019,10,24,9,3,3,4,14,15,13,5,6,1
83,18978,2019,10,13,21,3,2,3,14,15,13,5,9,4
84,19003,2019,10,14,20,2,4,3,14,15,13,8,3,4
85,19032,2019,10,10,23,2,4,5,14,15,13,8,3,-2
86,19145,2019,10,29,6,4,4,4,14,15,13,2,3,1
87,18830,2019,11,19,16,4,4,2,15,13,12,3,1,6
88,18848,2019,11,11,25,4,1,1,15,13,12,3,10,9
89,18857,2019,11,27,8,4,3,4,15,13,12,3,4,0
90,18885,2019,11,13,22,3,4,2,15,13,12,6,1,6
91,18911,2019,11,22,11,5,4,4,15,13,12,0,1,0
92,18916,2019,11,11,23,4,4,1,15,13,12,3,1,9
93,18938,2019,11,23,12,5,3,2,15,13,12,0,4,6
