,Cohort,Group,Sum_Introversion,Sum_Extroversion
0,2019,1,14,22
1,2019,1,13,21
2,2019,1,19,15
3,2019,1,5,30
4,2019,1,20,14
5,2019,1,26,7
6,2019,1,10,24
7,2019,1,25,8
8,2019,1,11,23
9,2019,2,20,14
10,2019,2,20,16
11,2019,2,18,18
12,2019,2,11,24
13,2019,2,15,19
14,2019,2,17,18
15,2019,2,20,13
16,2019,2,26,9
17,2019,3,9,26
18,2019,3,16,19
19,2019,3,24,10
20,2019,3,19,14
21,2019,3,9,26
22,2019,3,18,16
23,2019,3,26,8
24,2019,3,29,5
25,2019,4,18,17
26,2019,4,17,19
27,2019,4,14,21
28,2019,4,19,16
29,2019,4,20,13
30,2019,4,16,19
31,2019,4,9,27
32,2019,4,11,25
33,2019,4,20,13
34,2019,5,23,10
35,2019,5,25,10
36,2019,5,13,23
37,2019,5,18,16
38,2019,5,11,24
39,2019,5,28,7
40,2019,5,12,22
41,2019,5,18,15
42,2019,5,7,29
43,2019,6,18,15
44,2019,6,9,26
45,2019,6,17,16
46,2019,6,19,16
47,2019,6,21,13
48,2019,6,9,25
49,2019,6,20,15
50,2019,6,10,26
51,2019,6,25,8
52,2019,7,11,25
53,2019,7,6,30
54,2019,7,19,16
55,2019,7,8,28
56,2019,7,12,24
57,2019,7,18,17
58,2019,7,19,16
59,2019,7,14,20
60,2019,7,16,17
61,2019,8,21,15
62,2019,8,9,27
63,2019,8,9,27
64,2019,8,18,15
65,2019,8,16,18
66,2019,8,25,10
67,2019,8,23,12
68,2019,8,10,26
69,2019,8,18,17
70,2019,9,7,28
71,2019,9,29,4
72,2019,9,23,13
73,2019,9,8,27
74,2019,9,22,14
75,2019,9,7,28
76,2019,9,17,17
77,2019,9,24,9
78,2019,9,8,28
79,2019,10,18,18
80,2019,10,13,22
81,2019,10,20,15
82,2019,10,24,9
83,2019,10,13,21
84,2019,10,14,20
85,2019,10,10,23
86,2019,10,29,6
87,2019,11,19,16
88,2019,11,11,25
89,2019,11,27,8
90,2019,11,13,22
91,2019,11,22,11
92,2019,11,11,23
93,2019,11,23,12
94,2019,11,11,23
95,2019,11,12,23
96,2019,12,28,7
97,2019,12,19,17
98,2019,12,11,24
99,2019,12,13,20
100,2019,12,25,9
101,2019,12,24,10
102,2019,12,23,13
103,2019,12,28,8
104,2019,12,25,11
105,2019,13,14,20
106,2019,13,15,20
107,2019,13,31,3
108,2019,13,13,21
109,2019,13,18,16
110,2019,13,23,11
111,2019,13,16,19
112,2019,13,24,10
113,2019,13,22,13
114,2019,14,22,13
115,2019,14,22,11
116,2019,14,14,20
117,2019,14,11,24
118,2019,14,15,19
119,2019,14,21,12
120,2019,14,21,12
121,2019,14,10,24
122,2019,14,4,32
123,2019,15,28,5
124,2019,15,24,11
125,2019,15,15,19
126,2019,15,18,17
127,2019,15,16,18
128,2019,15,19,15
129,2019,15,21,15
130,2019,15,15,18
131,2019,16,23,12
132,2019,16,12,24
133,2019,16,23,10
134,2019,16,20,13
135,2019,16,13,21
136,2019,16,23,12
137,2019,16,12,23
138,2019,16,17,18
139,2019,16,4,32
140,2019,17,25,11
141,2019,17,29,5
142,2019,17,13,21
143,2019,17,16,19
144,2019,17,8,26
145,2019,17,28,6
146,2019,17,14,21
147,2019,17,11,25
148,2019,18,18,17
149,2019,18,28,6
150,2019,18,3,33
151,2019,18,25,9
152,2019,18,8,28
153,2019,18,15,21
154,2019,18,13,22
155,2019,18,15,20
156,2019,19,24,9
157,2019,19,22,14
158,2019,19,11,24
159,2019,19,11,24
160,2019,19,24,11
161,2019,19,20,15
162,2019,19,11,23
163,2019,20,11,25
164,2019,20,11,25
165,2019,20,28,5
166,2019,20,20,14
167,2019,20,16,18
168,2019,20,9,27
169,2019,20,15,18
170,2019,20,17,19
171,2019,20,16,19
172,2019,21,16,20
173,2019,21,10,25
174,2019,21,9,27
175,2019,21,13,21
176,2019,21,18,16
177,2019,21,24,11
178,2019,21,20,16
179,2019,21,25,10
180,2019,21,20,15
181,2019,22,15,21
182,2019,22,12,23
183,2019,22,24,9
184,2019,22,21,15
185,2019,22,20,14
186,2019,22,21,14
187,2019,22,13,23
188,2019,22,13,22
189,2019,22,15,21
190,2019,22,13,22
191,2019,23,19,16
192,2019,23,20,16
193,2019,23,22,11
194,2019,23,16,18
195,2019,23,23,11
196,2019,23,23,11
197,2019,23,14,20
