UID2,UID,Section
ID,ID,Section
15584,2019180001,F2F_2019
15648,2019040002,F2F_2019
16934,2019990003,F2F_2019
17079,2019240004,F2F_2019
18827,2019250005,F2F_2019
18828,2019120006,F2F_2019
18829,2019240007,F2F_2019
18830,2019110008,F2F_2019
18831,2019210009,F2F_2019
18832,2019060010,F2F_2019
18833,2019050011,F2F_2019
18834,2019100012,F2F_2019
18835,2019230013,F2F_2019
18836,2019050014,F2F_2019
18837,2019090015,F2F_2019
18838,2019230016,F2F_2019
18839,2019050017,F2F_2019
18840,2019080018,F2F_2019
18842,2019250019,F2F_2019
18844,2019090020,F2F_2019
18845,2019250021,F2F_2019
18848,2019110022,F2F_2019
18849,2019100023,F2F_2019
18851,2019090024,F2F_2019
18852,2019120025,F2F_2019
18853,2019210026,F2F_2019
18854,2019190027,F2F_2019
18855,2019050028,F2F_2019
18856,2019150029,F2F_2019
18857,2019110030,F2F_2019
18858,2019130031,F2F_2019
18859,2019190032,F2F_2019
18861,2019050033,F2F_2019
18862,2019090034,F2F_2019
18863,2019250035,F2F_2019
18864,2019230036,F2F_2019
18865,2019090037,F2F_2019
18866,2019160038,F2F_2019
18867,2019080039,F2F_2019
18868,2019120040,F2F_2019
18869,2019170041,F2F_2019
18870,2019160042,F2F_2019
18872,2019020043,F2F_2019
18873,2019090044,F2F_2019
18874,2019160045,F2F_2019
18875,2019030046,F2F_2019
18876,2019220047,F2F_2019
18877,2019190048,F2F_2019
18878,2019240049,F2F_2019
18879,2019030050,F2F_2019
18880,2019020051,F2F_2019
18881,2019030052,F2F_2019
18882,2019260053,F2F_2019
18883,2019040054,F2F_2019
18885,2019110055,F2F_2019
18886,2019140056,F2F_2019
18887,2019080057,F2F_2019
18888,2019100058,F2F_2019
18889,2019200059,F2F_2019
18890,2019100060,F2F_2019
18891,2019080061,F2F_2019
18892,2019210062,F2F_2019
18893,2019010063,F2F_2019
18894,2019120064,F2F_2019
18895,2019240065,F2F_2019
18896,2019070066,F2F_2019
18898,2019170067,F2F_2019
18899,2019020068,F2F_2019
18900,2019210069,F2F_2019
18901,2019240070,F2F_2019
18902,2019230071,F2F_2019
18903,2019080072,F2F_2019
18904,2019070073,F2F_2019
18906,2019260074,F2F_2019
18907,2019120075,F2F_2019
18909,2019140076,F2F_2019
18910,2019230077,F2F_2019
18911,2019110078,F2F_2019
18913,2019200079,F2F_2019
18916,2019110080,F2F_2019
18917,2019020081,F2F_2019
18918,2019210082,F2F_2019
18919,2019040083,F2F_2019
