UID,Section,TBL1_iRAT,TBL2_iRAT,TBL3_iRAT,TBL4_iRAT,TBL1_tRAT,TBL2_tRAT,TBL3_tRAT,TBL4_tRAT,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Section,Module 1: iRAT -- Requires Respondus LockDown Browser (5 points),Module 2: iRAT - Requires Respondus LockDown Browser + Webcam (5 points),Module 3: iRAT - Requires Respondus LockDown Browser + Webcam (5 points),Module 4: iRAT - Requires Respondus LockDown Browser + Webcam (5 points),Module 1: tRAT -- Only one Team Member submits (15 points),Module 2: tRAT -- Only one Team Member submits (15 points),Module 3: tRAT -- Only one Team Member submits (15 points),Module 4: tRAT -- Only one Team Member submits (15 points),Module 1: Step 3 -- Introversion & 7999traversion Survey [Qualtrics] (completion grade),Module 1: Step 4 -- Reflection for Introversion &  7999traversion Survey (completion grade),Module 1: Self-Assessment -- Personal Factors & Learning (completion grade),Module 1: Team-Assessment -- Personal Factors & Learning (completion grade),Module 1: Peer-to-Peer Assessment -- Personal Factors & Learning  (completion grade),Module 2: Step 4 -- Identifying the Function of the Emotion (completion grade),Module 2: Step 5 -- How Big is my Problem? (completion grade),Module 2: Self-Assessment -- Stress & Time Management (completion grade),Module 2: Team-Assessment -- Stress & Time Management (completion grade),Module 2: Peer-to-Peer Assessment -- Stress & Time Management (completion grade),Module 3: Step 5 -- Self-reflect on your Study Skills and Strategies (completion grade),Module 3: Self-Assessment -- Study & Test Taking Skills (completion grade),Module 3: Team Assessment -- Study & Test Taking Skills (completion grade),Module 3: Peer-to-Peer Assessment -- Study & Test Taking Skills (completion grade),Module 4: Step 4 -- Acknowledgement of Disclosure Statement for EQ-I (completion grade),Module 4: Step 5 -- EQ-i Assessment (completion grade),Module 4: Step 6 -- Reflection for EQ-i Summary Report (completion grade),Module 4: Step 7 -- Improving Resilience through the 3 Stress Management Skills (completion grade),Module 4: Self-Assessment -- EQ-i Debrief (completion grade),Module 4: Team Assessment -- EQ-i Debrief (completion grade),Module 4: Peer-to-Peer Assessment -- EQ-i Debrief (completion grade),Module 5: Relaxation and Mindfullness Techniques [Qualtrics] (completion grade),Module 6: Reflection for Prioritizing Sleep (completion grade),Module 7: SMART Goals (completion grade),Module 8: Filling the Gaps (completion grade),Module 9: Physical Activity Goal (completion grade)
,,5,5,5,5,15,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23174,F2F_2021,4,2,3,4,15,13,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23392,F2F_2021,5,2,4,4,15,14,13,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
23388,F2F_2021,4,3,5,4,15,12,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23393,F2F_2021,5,4,3,3,15,12,12,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
23151,F2F_2021,2,2,4,3,15,12,15,12,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23170,F2F_2021,3,1,3,0,15,12,15,13,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1
23252,F2F_2021,2,4,2,7999,15,15,14,7999,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,7999,1,7999,1,1,1,1,1
23259,F2F_2021,3,1,3,7999,15,12,12,7999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7999,7999,7999,1,1,1,1,1
