,TeamUID,Mean_Introversion,Mean_Extroversion,Cohort,Group,TBL1_TBL3_diff,TBL1_TBL3_1_diff,TBL1_TBL3_2_diff,TBL1_TBL3_3_diff,TBL1_TBL3_4_diff,TBL1_TBL3_5_diff,TBL1_TeamRating,TBL1_1_Engagement,TBL1_2_Conflict,TBL1_3_Roles,TBL1_4_DecisionMkg,TBL1_5_Planning,TBL2_TeamRating,TBL2_1_Engagement,TBL2_2_Conflict,TBL2_3_Roles,TBL2_4_DecisionMkg,TBL2_5_Planning,TBL3_TeamRating,TBL3_1_Engagement,TBL3_2_Conflict,TBL3_3_Roles,TBL3_4_DecisionMkg,TBL3_5_Planning
0,201901,15.88888889,18.22222222,2019,1,4,0,1,1,1,1,14,4,3,2,3,2,17,4,4,2,4,3,18,4,4,3,4,3
1,201902,18.375,16.375,2019,2,2,1,0,0,0,1,15,3,4,3,3,2,16,3,4,2,4,3,17,4,4,3,3,3
2,201903,18.75,15.5,2019,3,2,0,0,0,1,1,18,4,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
3,201904,16.0,18.88888889,2019,4,5,0,1,2,0,2,14,4,3,2,3,2,17,4,4,2,3,4,19,4,4,4,3,4
4,201905,17.22222222,17.33333333,2019,5,4,1,1,1,1,0,15,3,3,3,3,3,20,4,4,4,4,4,19,4,4,4,4,3
5,201906,16.44444444,17.77777778,2019,6,6,1,1,0,2,2,13,3,3,3,2,2,18,4,4,3,4,3,19,4,4,3,4,4
6,201907,13.66666667,21.44444444,2019,7,6,0,1,2,1,2,14,4,3,2,3,2,20,4,4,4,4,4,20,4,4,4,4,4
7,201908,16.55555556,18.55555556,2019,8,3,1,1,0,0,1,16,3,3,4,3,3,20,4,4,4,4,4,19,4,4,4,3,4
8,201909,16.11111111,18.66666667,2019,9,1,0,0,0,0,1,18,4,4,3,4,3,18,4,4,2,4,4,19,4,4,3,4,4
9,201910,17.625,16.75,2019,10,9,1,1,3,2,2,11,3,3,1,2,2,17,4,4,3,3,3,20,4,4,4,4,4
10,201911,16.55555556,18.11111111,2019,11,8,1,1,2,2,2,12,3,3,2,2,2,20,4,4,4,4,4,20,4,4,4,4,4
11,201912,21.77777778,13.22222222,2019,12,0,1,-1,0,-1,1,14,3,4,2,3,2,9999,9999,9999,9999,9999,9999,14,4,3,2,2,3
12,201913,19.55555556,14.77777778,2019,13,2,0,0,2,-1,1,17,4,4,2,4,3,16,4,4,2,4,2,19,4,4,4,3,4
13,201914,15.55555556,18.55555556,2019,14,4,2,1,-1,1,1,14,2,3,4,3,2,19,4,4,4,4,3,18,4,4,3,4,3
14,201915,19.5,14.75,2019,15,0,1,-1,0,1,-1,15,3,4,2,2,4,15,3,4,2,3,3,15,4,3,2,3,3
15,201916,16.33333333,18.33333333,2019,16,4,1,0,1,1,1,16,3,4,3,3,3,18,4,3,4,3,4,20,4,4,4,4,4
16,201917,18.0,16.75,2019,17,4,0,0,2,1,1,14,4,3,2,3,2,9999,9999,9999,9999,9999,9999,18,4,3,4,4,3
17,201918,15.625,19.5,2019,18,5,0,1,2,0,2,14,4,3,2,3,2,17,4,4,3,3,3,19,4,4,4,3,4
18,201919,17.57142857,17.14285714,2019,19,2,1,-1,1,0,1,16,3,4,2,4,3,9999,9999,9999,9999,9999,9999,18,4,3,3,4,4
19,201920,15.88888889,18.88888889,2019,20,6,0,1,2,1,2,14,4,3,2,3,2,19,4,4,4,3,4,20,4,4,4,4,4
20,201921,17.22222222,17.88888889,2019,21,5,0,1,1,2,1,15,4,3,3,2,3,19,4,4,4,4,3,20,4,4,4,4,4
21,201922,16.7,18.4,2019,22,4,1,0,1,1,1,13,3,4,1,3,2,16,4,4,2,3,3,17,4,4,2,4,3
22,201923,18.5,15.8,2019,23,2,0,0,0,1,1,18,4,4,4,3,3,18,4,4,3,4,3,20,4,4,4,4,4
23,201924,17.33333333,17.55555556,2019,24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4,20,4,4,4,4,4
24,201925,17.0,18.11111111,2019,25,4,1,1,1,0,1,13,3,3,2,3,2,18,4,4,3,4,3,17,4,4,3,3,3
25,201926,13.375,21.625,2019,26,6,1,0,2,2,1,12,3,4,2,1,2,18,4,4,4,3,3,18,4,4,4,3,3
26,202001,20.77777778,14.44444444,2020,1,6,1,0,1,1,3,12,3,4,2,3,0,18,4,4,3,4,3,18,4,4,3,4,3
27,202002,17.88888889,16.55555556,2020,2,3,0,1,0,0,2,14,4,3,3,3,1,15,4,4,2,3,2,17,4,4,3,3,3
28,202003,16.44444444,18.22222222,2020,3,4,1,0,1,1,1,15,3,4,3,3,2,19,4,4,4,4,3,19,4,4,4,4,3
29,202004,20.33333333,14.66666667,2020,4,4,1,1,0,1,1,14,3,3,3,3,2,14,3,3,2,3,3,18,4,4,3,4,3
30,202005,22.22222222,12.88888889,2020,5,0,0,0,0,1,-1,19,4,4,4,3,4,19,4,4,4,3,4,19,4,4,4,4,3
31,202006,19.0,15.88888889,2020,6,-1,0,0,-1,0,0,15,3,4,3,3,2,15,4,4,2,3,2,14,3,4,2,3,2
32,202007,17.88888889,17.11111111,2020,7,10,2,3,2,1,2,10,2,1,2,3,2,16,3,4,3,3,3,20,4,4,4,4,4
33,202008,18.33333333,16.77777778,2020,8,5,1,0,2,1,1,15,3,4,2,3,3,20,4,4,4,4,4,20,4,4,4,4,4
34,202009,16.33333333,18.0,2020,9,2,1,0,1,0,0,15,3,4,2,3,3,17,4,4,3,3,3,17,4,4,3,3,3
35,202010,18.0,16.55555556,2020,10,4,1,0,1,1,1,15,3,4,2,3,3,18,4,4,2,4,4,19,4,4,3,4,4
36,202011,22.25,13.25,2020,11,2,1,0,0,0,1,15,3,4,3,3,2,16,4,4,2,3,3,17,4,4,3,3,3
37,202012,18.0,16.375,2020,12,5,1,0,2,1,1,15,3,4,2,3,3,17,4,4,3,3,3,20,4,4,4,4,4
38,202013,16.14285714,19.0,2020,13,5,1,1,0,1,2,14,3,3,3,3,2,16,4,4,2,3,3,19,4,4,3,4,4
39,202014,17.0,17.66666667,2020,14,6,1,0,2,1,2,14,3,4,2,3,2,19,4,4,3,4,4,20,4,4,4,4,4
40,202015,22.44444444,12.77777778,2020,15,5,1,0,2,1,1,14,3,4,2,3,2,17,3,4,3,4,3,19,4,4,4,4,3
41,202016,18.88888889,16.33333333,2020,16,0,0,0,0,0,0,20,4,4,4,4,4,17,4,3,3,3,4,20,4,4,4,4,4
42,202017,15.875,18.875,2020,17,1,1,0,0,0,0,13,3,3,2,3,2,16,4,4,3,3,2,14,4,3,2,3,2
43,202018,17.22222222,17.55555556,2020,18,7,1,0,2,1,3,13,3,4,2,3,1,16,4,4,3,3,2,20,4,4,4,4,4
44,202019,19.33333333,15.44444444,2020,19,2,1,0,1,0,0,18,3,4,3,4,4,18,4,4,3,3,4,20,4,4,4,4,4
45,202020,17.44444444,17.33333333,2020,20,2,1,0,1,0,0,16,3,4,3,3,3,16,4,3,3,4,2,18,4,4,4,3,3
46,202021,13.66666667,21.0,2020,21,4,1,0,1,1,1,14,3,4,2,3,2,18,4,4,3,4,3,18,4,4,3,4,3
47,202022,13.88888889,20.44444444,2020,22,4,1,0,1,1,1,15,3,4,3,3,2,18,3,4,4,4,3,19,4,4,4,4,3
48,202023,18.7,16.2,2020,23,7,1,0,2,1,3,13,3,4,2,3,1,18,4,4,3,4,3,20,4,4,4,4,4
49,202024,15.77777778,18.77777778,2020,24,6,1,0,2,1,2,13,3,3,2,3,2,20,4,4,4,4,4,19,4,3,4,4,4
50,202025,17.22222222,17.77777778,2020,25,4,1,1,1,-1,2,14,3,3,2,4,2,16,3,4,3,4,2,18,4,4,3,3,4
51,202101,15.71428571,19.28571429,2021,1,0,0,0,0,0,0,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
52,202102,16.33333333,18.83333333,2021,2,6,0,1,2,1,2,14,4,3,2,3,2,17,4,4,2,4,3,20,4,4,4,4,4
53,202103,13.42857143,22.28571429,2021,3,2,0,0,1,0,1,15,4,4,2,3,2,17,4,4,2,3,4,17,4,4,3,3,3
54,202104,12.66666667,21.5,2021,4,0,0,0,0,0,0,20,4,4,4,4,4,18,4,3,3,4,4,20,4,4,4,4,4
55,202105,21.85714286,12.14285714,2021,5,7,1,2,2,1,1,11,2,2,2,3,2,16,3,4,2,4,3,18,3,4,4,4,3
56,202106,18.28571429,16.0,2021,6,3,1,0,1,1,0,17,3,4,3,3,4,19,4,4,4,3,4,20,4,4,4,4,4
57,202107,14.5,20.5,2021,7,0,0,0,-1,0,1,19,4,4,5,4,2,15,4,3,3,3,2,19,4,4,4,4,3
58,202108,12.4,23.0,2021,8,0,0,0,0,0,0,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
59,202109,19.14285714,15.57142857,2021,9,3,0,1,1,1,0,17,4,3,3,3,4,18,4,4,3,4,3,20,4,4,4,4,4
60,202110,17.14285714,17.57142857,2021,10,3,1,0,0,1,1,17,3,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
61,202111,15.0,19.57142857,2021,11,2,0,0,1,-1,2,16,4,4,2,4,2,18,4,4,3,3,4,18,4,4,3,3,4
62,202112,16.0,18.85714286,2021,12,2,0,0,1,1,0,18,4,4,3,3,4,20,4,4,4,4,4,20,4,4,4,4,4
63,202113,19.83333333,14.66666667,2021,13,1,0,0,2,0,-1,17,4,4,2,3,4,18,4,4,4,3,3,18,4,4,4,3,3
64,202114,20.0,14.8,2021,14,1,0,0,2,0,-1,18,4,4,2,4,4,17,4,4,2,4,3,19,4,4,4,4,3
65,202115,13.0,22.16666667,2021,15,1,-1,1,1,-1,1,16,4,3,3,4,2,16,3,4,4,3,2,17,3,4,4,3,3
66,202116,17.57142857,16.85714286,2021,16,3,0,0,1,0,2,17,4,4,3,4,2,19,4,4,4,3,4,20,4,4,4,4,4
67,202117,17.0,17.71428571,2021,17,2,0,0,2,1,-1,17,4,4,2,3,4,19,4,4,3,4,4,19,4,4,4,4,3
68,202118,15.83333333,19.0,2021,18,2,1,0,1,0,0,17,3,4,3,3,4,16,4,4,2,4,2,19,4,4,4,3,4
69,202119,15.85714286,18.42857143,2021,19,2,0,-1,2,0,1,15,4,4,2,3,2,17,4,4,3,4,2,17,4,3,4,3,3
70,202120,12.42857143,22.85714286,2021,20,3,0,0,2,1,0,17,4,4,2,3,4,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4
71,202121,21.83333333,12.83333333,2021,21,2,0,0,1,0,1,18,4,4,3,4,3,19,4,4,3,4,4,20,4,4,4,4,4
72,202122,18.42857143,16.85714286,2021,22,2,0,0,2,0,0,17,4,4,2,4,3,15,4,4,2,3,2,19,4,4,4,4,3
73,202123,18.42857143,16.0,2021,23,2,1,0,0,0,1,17,3,4,4,4,2,20,4,4,4,4,4,19,4,4,4,4,3
