TeamUID,Mean_Introversion,Mean_Extroversion
201901,15.88888889,18.22222222
201902,18.375,16.375
201903,18.75,15.5
201904,16,18.88888889
201905,17.22222222,17.33333333
201906,16.44444444,17.77777778
201907,13.66666667,21.44444444
201908,16.55555556,18.55555556
201909,16.11111111,18.66666667
201910,17.625,16.75
201911,16.55555556,18.11111111
201912,21.77777778,13.22222222
201913,19.55555556,14.77777778
201914,15.55555556,18.55555556
201915,19.5,14.75
201916,16.33333333,18.33333333
201917,18,16.75
201918,15.625,19.5
201919,17.57142857,17.14285714
201920,15.88888889,18.88888889
201921,17.22222222,17.88888889
201922,16.7,18.4
201923,18.5,15.8
201924,17.33333333,17.55555556
201925,17,18.11111111
201926,13.375,21.625
202001,20.77777778,14.44444444
202002,17.88888889,16.55555556
202003,16.44444444,18.22222222
202004,20.33333333,14.66666667
202005,22.22222222,12.88888889
202006,19,15.88888889
202007,17.88888889,17.11111111
202008,18.33333333,16.77777778
202009,16.33333333,18
202010,18,16.55555556
202011,22.25,13.25
202012,18,16.375
202013,16.14285714,19
202014,17,17.66666667
202015,22.44444444,12.77777778
202016,18.88888889,16.33333333
202017,15.875,18.875
202018,17.22222222,17.55555556
202019,19.33333333,15.44444444
202020,17.44444444,17.33333333
202021,13.66666667,21
202022,13.88888889,20.44444444
202023,18.7,16.2
202024,15.77777778,18.77777778
202025,17.22222222,17.77777778
202101,15.71428571,19.28571429
202102,16.33333333,18.83333333
202103,13.42857143,22.28571429
202104,12.66666667,21.5
202105,21.85714286,12.14285714
202106,18.28571429,16
202107,14.5,20.5
202108,12.4,23
202109,19.14285714,15.57142857
202110,17.14285714,17.57142857
202111,15,19.57142857
202112,16,18.85714286
202113,19.83333333,14.66666667
202114,20,14.8
202115,13,22.16666667
202116,17.57142857,16.85714286
202117,17,17.71428571
202118,15.83333333,19
202119,15.85714286,18.42857143
202120,12.42857143,22.85714286
202121,21.83333333,12.83333333
202122,18.42857143,16.85714286
202123,18.42857143,16
202124,19.42857143,16
202125,12.28571429,22.57142857
